ID,DemAffl,DemAge,DemCluster,DemClusterGroup,DemGender,DemReg,DemTVReg,PromClass,PromSpend,PromTime,TargetBuy,TargetAmt
553115,8,29,52,F,F,Midlands,Midlands,Silver,2000,12,0,0
580287,7,53,20,C,F,Midlands,Wales & West,Tin,0.01,5,1,1
588784,9,64,37,E,M,Midlands,Midlands,Silver,1000,12,0,0
595233,10,49,30,D,M,South East,S & S East,Silver,3000,5,1,1
598453,17,59,51,F,F,South East,London,Gold,12000,8,1,2
600504,8,37,52,F,F,North,N West,Tin,0.01,5,0,0
601969,5,60,14,B,,South East,London,Gold,10000,2,0,0
602906,10,64,52,F,,North,Yorkshire,Tin,0.01,4,0,0
604011,3,,16,C,F,North,N West,Silver,5000,4,0,0
606316,15,51,26,C,F,South East,London,Silver,3000,8,1,1
607118,8,47,,,F,Midlands,Midlands,Tin,0.01,5,0,0
607444,18,51,11,B,F,Midlands,Wales & West,Silver,3000,3,0,0
608378,5,58,34,D,F,Scottish,C Scotland,Silver,3050,11,0,0
610283,9,46,1,A,M,South East,London,Tin,0.01,9,0,0
611662,5,48,31,D,U,South East,London,Tin,0.01,5,0,0
618284,15,,41,E,F,Midlands,East,Silver,0.02,,1,2
621358,4,61,19,C,F,Midlands,Midlands,Gold,6000,1,0,0
630888,9,38,17,C,F,Midlands,Midlands,Tin,0.01,5,1,1
633380,7,68,41,E,M,South East,S & S East,Gold,15000.01,6,0,0
633542,12,76,53,F,F,Midlands,Wales & West,Gold,6000,2,0,0
641022,4,56,32,D,F,North,Yorkshire,Tin,0.01,8,0,0
642568,8,73,2,A,M,North,N East,Silver,360,1,1,1
649007,8,37,33,D,F,Midlands,Midlands,Tin,0.01,9,1,1
653500,,32,25,C,F,Midlands,Midlands,Silver,2500,1,1,1
663603,11,74,1,A,F,South East,London,Silver,3350,4,0,0
666238,9,65,30,D,M,North,Yorkshire,Gold,6107.64,,0,0
667692,5,60,37,E,F,Midlands,Midlands,Silver,5000,2,0,0
669067,10,35,30,D,F,Scottish,C Scotland,Silver,1500,4,0,0
672785,6,46,23,C,F,Scottish,N Scot,Gold,6544.99,1,0,0
674885,3,46,37,E,F,South East,London,Gold,6000,5,0,0
682144,5,70,41,E,F,South East,London,Platinum,21684.94,0,0,0
691178,9,37,,,M,Midlands,Ulster,Gold,10000,11,1,1
693847,4,46,8,B,U,South East,S & S East,Gold,6000,3,0,0
708569,3,68,43,E,U,Scottish,C Scotland,Silver,4000,18,0,0
711616,10,,8,B,U,Midlands,Midlands,Platinum,50000,4,0,0
714054,11,,32,D,U,Midlands,Wales & West,Silver,5000,5,0,0
723185,12,49,37,E,F,South East,London,Silver,3000,3,0,0
734446,4,63,38,E,F,Midlands,Midlands,Silver,3026.67,7,0,0
741779,4,62,8,B,U,Midlands,Midlands,Silver,5000,5,0,0
742880,5,,37,E,F,South East,S & S East,Gold,10000,7,1,1
745421,5,62,34,D,,Midlands,East,Silver,0.02,8,0,0
749044,5,74,22,C,U,North,N East,Gold,6000,1,0,0
750840,5,52,,,F,South East,S & S East,Tin,0.01,5,0,0
755931,,42,10,B,F,North,N West,Tin,0.01,4,0,0
760641,8,74,28,D,,Midlands,Midlands,Gold,6000,17,1,1
764876,7,43,32,D,F,South East,S & S East,Tin,0.01,5,0,0
770264,8,64,25,C,F,South East,London,Gold,12000,2,0,0
775258,12,31,44,E,F,North,N West,Silver,1100,9,0,0
778176,11,41,27,D,F,North,N East,Silver,1000,5,0,0
779199,9,45,51,F,F,Midlands,Wales & West,Tin,0.01,8,0,0
794872,8,67,25,C,,South East,London,Gold,10000.01,2,0,0
795267,17,,1,A,F,South East,London,Silver,1000,13,1,2
796026,9,40,21,C,F,South East,London,Tin,0.01,5,0,0
802069,7,70,5,B,F,South East,S & S East,Gold,12000,2,0,0
804061,20,,16,C,F,South East,S & S East,Silver,480,1,1,2
806994,6,56,52,F,,Midlands,Midlands,Tin,0.01,5,0,0
807877,,,13,B,F,South East,London,Gold,8053.35,1,0,0
811831,15,32,52,F,,North,Yorkshire,Tin,0.01,5,1,3
819301,10,51,,,M,Midlands,Ulster,Silver,1000,6,0,0
823066,8,65,10,B,,South East,London,Silver,50,7,0,0
823961,8,52,51,F,F,Midlands,Wales & West,Gold,6000,2,0,0
826758,8,,25,C,F,Scottish,C Scotland,Gold,6000,2,1,1
827614,6,38,38,E,F,South East,S & S East,Tin,0.01,9,1,1
830380,8,43,32,D,F,South East,London,Silver,50,10,0,0
835404,7,37,44,E,M,North,N West,Tin,0.01,5,0,0
836222,7,42,22,C,M,Scottish,N Scot,Tin,0.01,5,0,0
841013,4,22,2,A,U,Midlands,Midlands,Gold,6000,3,0,0
842486,8,31,44,E,U,Midlands,East,Tin,0.01,8,0,0
848085,15,33,6,B,F,North,N West,Silver,0.02,7,1,2
851396,9,,51,F,M,South East,London,Silver,600,7,0,0
853291,8,31,49,F,,Midlands,Midlands,Silver,5000,1,0,0
856916,8,54,34,D,M,Scottish,C Scotland,Gold,12000,8,0,0
861820,5,54,18,C,F,South East,S & S East,Silver,1000,2,0,0
870307,9,53,10,B,M,North,Yorkshire,Gold,6000,3,0,0
871095,16,37,53,F,F,North,Yorkshire,Tin,0.01,5,1,2
875694,8,63,28,D,,South West,S West,Gold,6000,2,0,0
876623,3,33,,,M,North,N West,Tin,0.01,5,0,0
878812,7,65,12,B,F,South East,London,Tin,0.01,8,0,0
889199,14,39,38,E,F,Midlands,Midlands,Silver,50,10,1,1
897485,9,42,47,F,F,Scottish,C Scotland,Gold,6000,2,1,1
899186,6,67,37,E,M,North,Yorkshire,Silver,3000,8,0,0
903191,11,43,52,F,F,Midlands,Midlands,Tin,0.01,5,1,1
908584,9,,23,C,M,North,N West,Gold,6000,6,0,0
909459,8,50,19,C,F,South East,S & S East,Silver,0.02,9,0,0
910007,5,70,8,B,,Midlands,Midlands,Gold,12000,5,0,0
918237,13,58,28,D,F,Midlands,Midlands,Tin,0.01,8,0,0
919551,13,50,,,F,,,Tin,0.01,5,1,1
922366,7,78,,,F,Midlands,Ulster,Silver,1250,5,0,0
929506,5,79,12,B,M,Midlands,East,Gold,6000,8,0,0
935530,8,68,1,A,F,South East,London,Silver,800,8,1,1
943517,9,48,1,A,F,South East,London,Silver,600,8,0,0
946311,9,,20,C,M,South East,London,Silver,3000,3,0,0
950033,12,35,51,F,M,South West,S West,Silver,1500,5,0,0
951897,9,38,34,D,F,Midlands,East,Tin,0.01,4,1,1
952729,11,42,17,C,M,North,N West,Gold,6041.13,5,0,0
956155,14,50,17,C,M,North,N West,Silver,420.01,4,0,0
956635,4,63,22,C,M,North,N West,Tin,0.01,5,1,1
963194,9,75,20,C,F,South East,London,Gold,6000,1,0,0
966932,8,50,29,D,F,South East,London,Silver,50,8,0,0
985295,2,58,34,D,F,South East,London,Tin,0.01,8,0,0
994332,8,66,,,F,Midlands,Ulster,Silver,500,8,0,0
997684,6,54,48,F,F,South East,London,Silver,50,11,0,0
1002422,7,54,35,D,F,North,N West,Tin,0.01,5,0,0
1003402,18,38,53,F,F,South East,London,Tin,0.01,6,1,1
1004301,6,,53,F,M,Midlands,East,Gold,6000,2,0,0
1008129,8,55,24,C,M,South East,London,Silver,1000,5,0,0
1009060,8,52,38,E,M,Scottish,C Scotland,Tin,0.01,4,0,0
1009931,11,59,32,D,F,Midlands,Midlands,Silver,1500,2,0,0
1011243,6,63,49,F,M,South West,S West,Silver,1000,2,1,1
1011669,15,47,38,E,M,North,N West,Tin,0.01,6,0,0
1012509,6,44,51,F,F,South East,London,Tin,0.01,8,0,0
1013394,7,39,4,A,F,South East,London,Tin,0.01,7,0,0
1018361,5,72,4,A,U,Midlands,Midlands,Gold,6000,2,0,0
1022334,8,38,47,F,M,Midlands,Wales & West,Tin,0.01,5,0,0
1024248,13,72,30,D,F,South East,S & S East,Tin,0.01,8,0,0
1029592,11,,27,D,M,South East,London,Tin,0.01,4,1,1
1030302,6,76,49,F,,Scottish,Border,Silver,3000,8,0,0
1036084,11,50,32,D,,North,N East,Silver,3000,8,0,0
1040227,7,66,19,C,F,Midlands,Wales & West,Gold,9000,8,0,0
1040944,6,51,38,E,,South East,London,Tin,0.01,5,0,0
1041231,7,61,19,C,,Midlands,Midlands,Gold,6107.64,,0,0
1043773,3,63,25,C,,Midlands,Midlands,Tin,0.01,8,0,0
1054015,6,78,51,F,F,South East,London,Gold,7500,5,0,0
1055682,9,55,15,B,M,Midlands,East,Gold,5672.31,2,0,0
1060228,7,49,53,F,M,Midlands,Midlands,Gold,10000,3,0,0
1061348,13,70,5,B,,South East,London,Silver,2884.96,8,0,0
1068601,6,45,32,D,F,Midlands,Midlands,Tin,0.01,4,0,0
1070037,5,73,52,F,F,Scottish,C Scotland,Silver,600,32,0,0
1070460,8,71,4,A,F,South East,London,Platinum,23425,4,1,1
1072773,14,52,27,D,F,South East,London,Gold,7017.55,5,0,0
1080016,11,52,34,D,F,Midlands,East,Tin,0.01,,0,0
1083767,9,64,52,F,F,,,Silver,3000,1,0,0
1084607,9,57,16,C,F,Midlands,Midlands,Gold,9052.66,7,0,0
1087452,6,,44,E,F,Midlands,Midlands,Silver,2000,27,0,0
1091085,10,63,27,D,M,North,N West,Gold,6053.34,4,0,0
1094955,,32,41,E,F,Midlands,Midlands,Tin,0.01,4,1,1
1097474,20,39,24,C,M,North,N West,Tin,0.01,8,1,2
1098918,7,35,22,C,F,Midlands,Midlands,Tin,0.01,4,1,1
1101579,8,58,48,F,F,Midlands,Wales & West,Silver,1930,9,0,0
1103288,10,40,23,C,F,Midlands,Midlands,Tin,0.01,4,1,1
1104136,13,,25,C,M,South East,S & S East,Silver,980,5,1,1
1108646,9,61,3,A,F,South East,London,Gold,12150,11,0,0
1111434,13,70,25,C,F,North,N West,Silver,500,11,0,0
1115014,12,,31,D,F,Midlands,Midlands,Gold,9000,11,0,0
1117629,7,,35,D,F,Midlands,Midlands,Tin,0.01,8,0,0
1128353,5,70,52,F,F,North,N West,Silver,3500,5,0,0
1131451,6,60,3,A,F,Midlands,Wales & West,Gold,10000,4,0,0
1134051,14,77,6,B,F,South East,S & S East,Silver,4884.25,11,0,0
1135724,10,74,42,E,F,South East,S & S East,Silver,4500,12,0,0
1136585,7,67,33,D,F,Midlands,Wales & West,Silver,3000,5,0,0
1137492,7,51,27,D,M,Midlands,Midlands,Gold,17000,11,1,1
1138235,18,37,25,C,F,Midlands,Midlands,Silver,50.01,8,1,3
1143662,8,35,52,F,,North,N West,Gold,5044.46,5,0,0
1150820,5,58,20,C,F,Scottish,N Scot,Gold,6000,22,0,0
1151037,6,27,30,D,F,South East,S & S East,Silver,5,7,0,0
1154958,5,72,12,B,U,South East,London,Platinum,32050,12,0,0
1156179,9,70,31,D,F,South East,London,Gold,6000,8,0,0
1162020,7,,51,F,F,Midlands,Wales & West,Tin,0.01,2,0,0
1164910,7,51,38,E,M,North,N West,Tin,0.01,10,0,0
1176846,9,31,52,F,F,,,Silver,1064.45,1,1,1
1178520,10,58,51,F,F,Midlands,Wales & West,Silver,3000.01,8,0,0
1179462,10,73,38,E,F,Midlands,Wales & West,Tin,0.01,6,0,0
1184199,7,38,51,F,F,South East,London,Silver,4500,4,0,0
1186671,7,71,1,A,F,South East,London,Silver,2000,3,1,1
1190369,22,50,22,C,M,South East,London,Silver,3000,6,1,2
1191357,9,,,,U,Midlands,Wales & West,Silver,2000,4,0,0
1192051,6,51,22,C,F,Midlands,Midlands,Silver,3500,27,0,0
1195654,10,33,35,D,F,Midlands,Wales & West,Tin,0.01,8,0,0
1196413,6,67,1,A,U,Midlands,Midlands,Silver,5000,4,0,0
1201212,,78,15,B,M,South East,S & S East,Silver,3000,8,0,0
1214039,8,64,2,A,F,South East,London,Gold,20000,4,1,1
1214934,9,50,52,F,F,South East,London,Silver,5000,4,0,0
1219553,8,76,37,E,U,North,N West,Gold,6000,15,0,0
1220462,5,41,50,F,F,South East,London,Gold,6000,3,0,0
1225006,12,50,31,D,M,Scottish,C Scotland,Tin,0.01,7,1,1
1227807,13,54,2,A,F,South West,S West,Gold,12078.35,30,0,0
1237713,13,45,14,B,F,South East,S & S East,Silver,3000,8,0,0
1238604,,72,10,B,F,South East,London,Silver,50.01,13,0,0
1245880,7,41,53,F,,North,N West,Tin,0.01,9,0,0
1246933,10,59,13,B,M,South East,S & S East,Silver,780,2,0,0
1250647,9,68,23,C,,Midlands,Midlands,Silver,4000,5,1,1
1260758,9,66,35,D,M,Scottish,C Scotland,Silver,2000,9,0,0
1263749,5,52,6,B,M,North,Yorkshire,Tin,0.01,11,0,0
1265857,8,73,,,M,Midlands,Ulster,Gold,6000,6,0,0
1275305,6,45,50,F,U,North,N West,Silver,300,9,0,0
1276417,9,48,30,D,F,South East,S & S East,Tin,0.01,5,1,1
1277200,6,60,6,B,F,South East,S & S East,Tin,0.01,5,0,0
1285750,,57,12,B,F,South East,London,Tin,0.01,8,0,0
1287850,11,56,23,C,F,Midlands,East,Gold,6105.32,7,0,0
1288741,26,31,44,E,F,Midlands,Midlands,Tin,0.01,4,1,2
1289772,,,30,D,F,South West,S West,Tin,0.01,4,1,1
1303252,9,55,26,C,M,South East,London,Tin,0.01,11,0,0
