"","Area","Perimeter","MajorAxisLength","MinorAxisLength","Eccentricity","ConvexArea","Extent","Class"
"60",31141,812.048,275.4822739,182.2212759,0.713035966,35295,0.797666284,"DERMASON"
"61",30886,700.573,247.4257937,180.110589,0.730041706,32156,0.758179018,"DERMASON"
"62",154286,1751.418,541.2182657,343.2440628,0.767341635,155410,0.808021694,"BOMBAY"
"63",45595,1067.196,331.2126978,175.9830837,0.811481848,31756,0.771218626,"SIRA"
"64",60669,956.474,427.5686775,204.8523237,0.89617044,80531,0.68769564,"HOROZ"
"65",39579,639.78,283.8359084,172.3193728,0.802656417,46316,0.80163991,"SIRA"
"66",26380,837.456,233.0879711,148.932033,0.79112928,42848,0.691116868,"DERMASON"
"67",40204,856.605,285.3561661,207.559316,0.635708327,39603,0.805732924,"DERMASON"
"68",29066,436.646,193.2921023,159.6612025,0.691906722,27461,0.742951399,"DERMASON"
"69",72931,918.393,376.782537,234.7348551,0.803304674,72697,0.79316685,"CALI"
"70",27070,695.449,219.2878547,182.2055369,0.789280204,30808,0.762154911,"DERMASON"
"71",52334,751.699,397.765289,153.2459865,0.921068236,50289,0.686363314,"HOROZ"
"72",31560,573.877,240.6494032,167.3759454,0.705369338,45771,0.784135274,"DERMASON"
"73",53733,803.728,403.445171,197.5298204,0.829126728,73421,0.792382543,"HOROZ"
"74",27098,789.195,200.6262135,158.7850041,0.787256456,23846,0.823829539,"DERMASON"
"75",45530,839.208,303.7319429,220.2917661,0.697774003,39523,0.715909277,"SIRA"
"76",80968,1095.102,439.1664627,241.3372998,0.85735881,99597,0.77032534,"CALI"
"77",38082,620.805,239.1212386,205.8351446,0.620116996,38367,0.723526728,"SEKER"
"78",37147,818.538,306.1069962,190.0368106,0.844948396,38111,0.737628734,"HOROZ"
"79",36358,936.816,302.7706678,150.2335867,0.861224123,37328,0.773347857,"HOROZ"
"80",63441,1127.036,408.2342855,202.275652,0.869342581,64338,0.729166223,"HOROZ"
"81",47540,940.617,327.7614985,171.8595398,0.773087381,63251,0.73559192,"SIRA"
"82",43438,849.103,300.6274184,173.102266,0.830480747,44242,0.662094633,"SIRA"
"83",49541,828.602,292.3240191,187.822621,0.753543121,45687,0.791639949,"SIRA"
"84",35071,723.046,240.1364583,172.8129481,0.74863063,34461,0.692759988,"DERMASON"
"85",69328,1126.396,411.4595389,213.5958153,0.808947091,74114,0.720782211,"CALI"
"86",35140,677.669,261.4237338,156.8945583,0.792119837,36984,0.703585409,"DERMASON"
"87",146197,1394.331,538.7438357,363.8074599,0.737108394,150585,0.758022912,"BOMBAY"
"88",176871,1865.829,586.4790588,390.6656083,0.750681985,182288,0.713004627,"BOMBAY"
"89",24826,531.869,216.8466484,149.6659193,0.786702238,25224,0.737537466,"DERMASON"
"90",61255,955.35,422.9954661,182.5408316,0.869595957,62146,0.772639227,"HOROZ"
"91",41107,877.427,251.5994028,202.734928,0.714176509,40026,0.717424911,"SIRA"
"92",89461,1258.577,434.7070051,235.9234328,0.782040234,89993,0.790459883,"CALI"
"93",72854,1094.802,382.1377754,245.2982083,0.835484675,73792,0.759120908,"CALI"
"94",35460,968.372,255.4953848,205.3487283,0.678559636,35759,0.776385059,"SEKER"
"95",205281,1858.517,684.2661998,402.8227468,0.840649018,208603,0.823124142,"BOMBAY"
"96",152745,1706.095,560.8627309,363.1338825,0.734916021,157801,0.811693922,"BOMBAY"
"97",170077,1565.711,592.9704065,401.8447062,0.763790337,170422,0.782489449,"BOMBAY"
"98",165882,1774.347,570.0117029,374.3184856,0.74379802,165938,0.781707977,"BOMBAY"
"99",83231,1200.465,414.7437253,228.1865223,0.828907021,81320,0.673028806,"CALI"
"100",25839,414.907,193.9110865,127.0694676,0.734170258,23513,0.784555163,"DERMASON"
"101",84766,1274.108,423.9741553,217.2207298,0.81705742,84898,0.742883693,"CALI"
"102",74526,1272.056,434.79157,217.5075636,0.87480584,75629,0.775778812,"CALI"
"103",48843,790.162,383.3968625,168.2646575,0.882283333,51383,0.717245666,"HOROZ"
"104",56979,1035.291,374.8526948,193.8884406,0.819576975,56289,0.642195186,"HOROZ"
"105",49021,877.701,327.474476,211.4794233,0.806977462,47699,0.749445,"SIRA"
"106",36679,672.336,252.495942,152.0495858,0.707244155,34781,0.799954421,"DERMASON"
"107",45329,1046.529,289.3934607,211.9704107,0.633866207,46765,0.771036654,"SEKER"
"108",74159,1084.16,383.0446402,216.5278358,0.771047218,70793,0.811113606,"CALI"
"109",35158,501.619,269.3271332,221.0136035,0.556030137,37326,0.782660323,"SEKER"
"110",30409,477.965,222.8481502,159.9585338,0.62208595,34020,0.743498704,"DERMASON"
"111",39812,552.82,253.8965026,212.5910614,0.703844802,26696,0.739978312,"SEKER"
"112",42112,924.519,290.5191338,181.5361088,0.767033264,44033,0.81675557,"SIRA"
"113",62171,1091.502,369.2539904,179.7429234,0.862307986,65682,0.626118416,"HOROZ"
"114",37350,983.061,242.2645622,195.909306,0.516119038,41698,0.783355515,"SEKER"
"115",40177,814.459,260.2386663,189.4524814,0.755041661,55335,0.717835446,"SIRA"
"116",34896,851.733,271.3839882,186.3451045,0.656372747,38355,0.817975622,"SEKER"
"117",48608,666.347,308.4624695,170.5201954,0.794173452,50270,0.698332244,"SIRA"
"118",54583,1133.73,390.2479996,206.8546681,0.908357383,61622,0.708286134,"HOROZ"
"119",34317,940.022,243.7849515,214.4873537,0.471081046,34744,0.762771607,"SEKER"
"120",149237,1519.067,548.9182349,349.736911,0.758364861,151619,0.779674055,"BOMBAY"
"121",185563,1477.262,633.7949712,387.8554395,0.835522829,171976,0.831306051,"BOMBAY"
"122",29994,739.368,242.1151519,170.2068464,0.736339824,31747,0.777428687,"DERMASON"
"123",68618,980.504,389.1635554,232.7298099,0.804748879,69544,0.76268334,"CALI"
"124",73547,1355.722,443.6431931,260.5889409,0.826350855,77534,0.79842663,"CALI"
"125",46174,1094.47,324.3579991,212.8125325,0.739231201,48792,0.786919866,"SIRA"
"126",37106,842.225,242.6373923,167.4767232,0.780853029,34876,0.757648681,"DERMASON"
"127",48453,764.343,305.9841818,172.3885432,0.711854434,62822,0.805750203,"SIRA"
"128",55517,882.437,341.9999628,189.624075,0.866383236,56577,0.687162611,"HOROZ"
"129",39440,826.853,261.1372306,148.4910975,0.816629247,35794,0.773158807,"SIRA"
"130",26874,737.471,218.512754,158.2751465,0.646156474,31216,0.808633205,"DERMASON"
"131",41260,675.651,297.6438922,162.2386214,0.695569736,42523,0.741081771,"DERMASON"
"132",30366,745.821,248.7960952,156.8032962,0.706455089,37172,0.718518956,"DERMASON"
"133",53574,786.746,331.5812312,190.5209559,0.775127434,54286,0.696764178,"SIRA"
"134",39131,968.905,248.7608095,209.698091,0.65902082,41525,0.743383802,"SEKER"
"135",213574,1753.996,738.205937,375.0378377,0.806528888,205584,0.819425932,"BOMBAY"
"136",34688,551.62,231.966742,161.1976129,0.763037734,34783,0.768115476,"DERMASON"
"137",26587,622.67,217.4529281,167.6354652,0.695343213,28453,0.780211154,"DERMASON"
"138",69736,1109.9,399.2646068,230.9603801,0.8837019,73293,0.689905497,"CALI"
"139",189938,1681.576,639.4675824,373.0403679,0.79644712,194877,0.826030524,"BOMBAY"
"140",49601,1120.719,353.5031556,173.3355178,0.869959986,48369,0.778473518,"HOROZ"
"141",39472,854.763,211.8253714,189.9084477,0.426586624,41326,0.799668801,"SEKER"
"142",51135,689.761,314.9417284,173.784431,0.821904059,52763,0.733798687,"SIRA"
"143",48394,913.819,263.2211395,237.5971837,0.713517108,48937,0.74983433,"SIRA"
"144",149990,1304.431,549.0806506,327.3701795,0.749762324,150520,0.734319363,"BOMBAY"
"145",155987,1534.502,544.9325789,353.901544,0.756422638,158551,0.767683302,"BOMBAY"
"146",36458,536.474,242.4907841,205.1423475,0.734455186,35714,0.780069044,"DERMASON"
"147",42600,1072.575,271.6471418,187.9238035,0.686875844,43480,0.769393972,"SIRA"
"148",80152,1283.732,461.5820522,232.363052,0.886297945,86050,0.789178258,"CALI"
"149",44539,827.91,289.6488244,194.603533,0.585456608,44853,0.772000057,"SEKER"
"150",39264,1014.383,257.6203046,202.4295475,0.64673986,42325,0.769171077,"SEKER"
"151",65582,989.216,395.8546799,205.0878347,0.818810207,52909,0.754551422,"CALI"
"152",33232,677.379,203.6633286,166.9235861,0.508107472,33941,0.780945803,"SEKER"
"153",45125,984.483,280.7717945,233.8466191,0.596265357,47170,0.667558327,"SEKER"
"154",165388,1498.825,600.4222611,379.2037716,0.802123488,170555,0.774015446,"BOMBAY"
"155",28879,848.697,210.9651657,143.9499018,0.761312505,29829,0.783559185,"DERMASON"
"156",35225,894.677,277.3157916,205.0230152,0.706028513,35997,0.797098361,"DERMASON"
"157",34942,732.423,268.9338364,188.5284443,0.695802083,35893,0.789496203,"SIRA"
"158",213519,1679.504,716.3862984,386.5563694,0.843169426,217043,0.731039262,"BOMBAY"
"159",50994,699.301,375.9460119,193.7115804,0.80159407,51154,0.66062177,"HOROZ"
"160",39056,559.855,267.0948867,200.6917328,0.61609906,35886,0.7615178,"SEKER"
"161",49965,1048.428,300.2276916,219.2246436,0.675947059,52658,0.769760599,"SEKER"
"162",77895,1207.87,439.2831488,267.768729,0.849875052,79221,0.761780327,"CALI"
"163",143341,1696.836,546.0291355,347.8842849,0.72773843,147443,0.813897093,"BOMBAY"
"164",156393,1364.939,582.3304992,355.8617343,0.740035178,162684,0.778463505,"BOMBAY"
"165",180146,1788.67,650.9387215,367.0101076,0.802313191,186712,0.754879001,"BOMBAY"
"166",83366,1344.72,419.78625,260.2918264,0.845628954,81027,0.727807154,"CALI"
"167",34329,948.232,254.1187017,202.4719436,0.563241382,34646,0.793349577,"DERMASON"
"168",81050,1198.069,438.5723073,218.3677492,0.809185549,77676,0.794404687,"CALI"
"169",159031,1534.003,549.6594165,324.6140053,0.750159812,156664,0.781314531,"BOMBAY"
"170",52248,1039.612,372.5788707,159.0758336,0.84102048,55211,0.753167177,"HOROZ"
"171",55925,866.1,419.2037951,215.1112965,0.926114751,61416,0.81254082,"HOROZ"
"172",40672,739.44,274.0464075,192.1229295,0.680726938,26778,0.784528837,"SEKER"
"173",51722,1160.315,343.0767656,168.1027557,0.880938916,55104,0.705476016,"HOROZ"
"174",84799,1058.664,476.0751323,238.7391757,0.815345467,85614,0.812251871,"CALI"
"175",71925,1252.159,418.6077933,226.9067277,0.840305962,68309,0.808100256,"HOROZ"
"176",42666,875.768,271.668902,213.0787612,0.622973936,41009,0.79068998,"SEKER"
"177",152884,1400.83,547.8949401,360.0818792,0.666682295,154335,0.767568289,"BOMBAY"
"178",43132,829.421,314.2611224,143.6618814,0.895747714,47735,0.82590614,"HOROZ"
"179",84958,1051.355,437.141573,276.5424169,0.787382005,86397,0.760506567,"CALI"
"180",27733,548.239,233.552909,150.062771,0.736631991,25861,0.770429352,"DERMASON"
"181",37154,506.514,212.0267703,183.6497033,0.551607476,52188,0.796836096,"SEKER"
"182",43460,924.995,320.4332357,210.3931171,0.82906635,44979,0.69295264,"SIRA"
"183",64567,1081.332,334.6220199,213.203916,0.77186238,65061,0.792742715,"CALI"
"184",30457,909.164,235.4546379,197.1067498,0.67238172,31473,0.703820772,"DERMASON"
"185",29226,563.709,232.4492241,179.3677659,0.636926482,30852,0.731264854,"DERMASON"
"186",34287,848.551,226.4255327,152.4649145,0.746853406,19099,0.720183895,"DERMASON"
"187",57926,1027.214,389.354794,205.2916737,0.783380979,59552,0.719550777,"HOROZ"
"188",38159,600.005,240.9809759,188.5546125,0.600363432,38488,0.757018324,"SEKER"
"189",95418,1100.035,452.4400986,254.122282,0.763287774,98076,0.811995456,"CALI"
"190",67132,1120.781,391.1936656,188.5934923,0.813138287,63470,0.809100039,"HOROZ"
"191",38063,910.853,273.8561711,196.1701749,0.765210288,36604,0.773308221,"DERMASON"
"192",35315,727.114,261.3441005,160.0381793,0.625046728,21309,0.773044938,"DERMASON"
"193",40572,732.019,224.2359143,215.0035349,0.531161882,41215,0.758403914,"SEKER"
"194",24205,874.218,222.6127739,159.5056701,0.728189125,29116,0.724178707,"DERMASON"
"195",133881,1270.508,496.7221124,304.8746237,0.758181959,132204,0.75508069,"BOMBAY"
"196",68066,1331.716,412.5137217,246.124262,0.862299131,69421,0.805957535,"HOROZ"
"197",175112,1399.416,556.8128482,415.2473881,0.712450439,172392,0.789388619,"BOMBAY"
"198",79892,1053.163,420.7266207,209.8429016,0.846895846,96189,0.817802068,"CALI"
"199",179091,1840.039,595.7237324,386.2879689,0.71035117,178266,0.80684271,"BOMBAY"
"200",49859,1101.894,312.5522803,200.1185415,0.840411922,49002,0.819716356,"SIRA"
"201",32891,794.193,257.451836,147.0778015,0.659156824,19644,0.717739651,"DERMASON"
"202",36890,666.892,269.2823348,159.9513629,0.744459262,38514,0.807341057,"SIRA"
"203",203927,1989.327,654.550904,396.3541305,0.756603339,208124,0.810145929,"BOMBAY"
"204",156656,1685.532,551.8459995,343.925153,0.742869089,160265,0.714975053,"BOMBAY"
"205",148324,1580.235,561.6194204,369.2232326,0.770391077,149670,0.781511889,"BOMBAY"
"206",38494,824.178,254.6441208,210.7554069,0.684223222,24277,0.806063649,"DERMASON"
"207",63774,872.157,393.1562032,226.3819328,0.896894847,51187,0.790824256,"HOROZ"
"208",37134,612.895,206.4409916,208.5516816,0.516279618,38913,0.774122069,"SEKER"
"209",38067,651.946,296.576339,176.9995975,0.80339974,38929,0.790225509,"SIRA"
"210",86081,1222.972,417.8825808,250.6933601,0.80604915,86716,0.799673749,"CALI"
"211",41770,584.896,252.8724074,195.0039772,0.558527986,43947,0.751991622,"SEKER"
"212",29453,895.15,240.2659374,138.7628339,0.734419001,33416,0.724898525,"DERMASON"
"213",168812,1495.327,618.1681489,357.9560936,0.831347242,172226,0.789762991,"BOMBAY"
"214",31898,808.399,223.0851338,164.4509125,0.486361129,36494,0.786208013,"SEKER"
"215",34206,704.29,219.7306605,210.5130846,0.567055195,34452,0.816718908,"SEKER"
"216",47884,766.651,326.9002241,222.8405208,0.786586171,52633,0.679822211,"SIRA"
"217",34822,970.389,231.0995276,190.2271246,0.551365564,51943,0.772611497,"SEKER"
"218",39077,997.407,333.5516345,191.6283993,0.919531023,42027,0.816990048,"HOROZ"
"219",46925,1158.581,345.8239188,209.907759,0.810820053,50810,0.638419493,"HOROZ"
"220",71879,1164.631,382.0109994,240.6345399,0.795510835,71987,0.781110668,"CALI"
"221",29947,764.461,227.7505725,175.1913255,0.785327963,26499,0.78904594,"DERMASON"
"222",33037,913.921,266.0351569,182.2747022,0.824591277,30061,0.818496318,"DERMASON"
"223",177235,1885.467,619.0083971,359.780449,0.774122983,183360,0.714683347,"BOMBAY"
"224",200924,1519.236,681.7271105,385.8368918,0.813193808,203753,0.809973534,"BOMBAY"
"225",101723,1491.723,518.5079663,270.0681183,0.8305388,105657,0.757975902,"CALI"
"226",170874,1692.484,543.8271749,418.1652611,0.69374628,173782,0.822565952,"BOMBAY"
"227",39121,970.306,228.8804938,193.7280228,0.553168544,37231,0.807150325,"SEKER"
"228",189496,1802.579,602.9182466,384.3233073,0.820099737,192367,0.81181395,"BOMBAY"
"229",33124,1023.293,263.1341924,158.1503206,0.724223622,18148,0.683977358,"DERMASON"
"230",36690,684.142,265.036331,198.2244906,0.541574141,39189,0.789585225,"SEKER"
"231",175803,1840.137,625.1316569,351.755294,0.770931869,163033,0.770562255,"BOMBAY"
"232",29356,626.8,236.5047707,155.3745266,0.757837764,29336,0.740998023,"DERMASON"
"233",45297,1033.604,290.0411359,224.1228698,0.779108303,31613,0.774160545,"SIRA"
"234",59030,1253.374,428.7145482,156.4125139,0.915443238,59693,0.618712108,"HOROZ"
"235",41661,639.058,233.0743349,251.2144234,0.300635494,42094,0.773311557,"SEKER"
"236",47434,866.642,317.8898203,216.4961902,0.67002396,47902,0.741445771,"SEKER"
"237",36683,654.574,252.9172609,150.6464783,0.762503862,36271,0.795075114,"SIRA"
"238",40675,757.628,248.0856461,182.7928383,0.536672639,40805,0.772098739,"SEKER"
"239",191423,1855.83,623.9931003,379.4847518,0.751202792,192834,0.710905857,"BOMBAY"
"240",74460,965.522,425.1837183,246.254713,0.846310303,73217,0.761995029,"CALI"
"241",31470,654.522,230.8728322,161.8433473,0.608514226,34923,0.75939444,"SEKER"
"242",48100,924.14,295.3435027,197.9329071,0.6920248,48649,0.810138752,"SIRA"
"243",39517,670.117,297.4700827,188.5983993,0.802265388,42276,0.695201111,"SIRA"
"244",39005,910.112,231.2340984,206.121748,0.599524716,41144,0.747980239,"SEKER"
"245",180508,1680.919,614.7451154,367.6843249,0.852920165,181168,0.783403844,"BOMBAY"
"246",29163,845.041,211.322628,175.7899941,0.732501682,25910,0.697177209,"DERMASON"
"247",44433,772.096,263.8380332,189.5920076,0.738569293,43448,0.778627517,"SIRA"
"248",28215,899.528,208.2420749,161.6710581,0.699777099,27286,0.813129176,"DERMASON"
"249",90734,997.682,476.8934932,270.6589733,0.830243666,92903,0.716229534,"CALI"
"250",54012,880.912,323.4591213,217.7799849,0.797800221,53778,0.650749705,"SIRA"
"251",46159,1004.895,354.4085862,189.2040891,0.900177166,41947,0.630207922,"HOROZ"
"252",36335,521.465,266.6108615,156.4879403,0.771784966,52255,0.770003023,"DERMASON"
"253",57215,768.723,390.5946399,214.03888,0.813425099,59344,0.777570386,"HOROZ"
"254",57941,1234.451,362.3014888,237.0295367,0.816052566,59240,0.736642789,"HOROZ"
"255",35135,575.251,214.6339648,170.5369454,0.486273755,49529,0.789408528,"SEKER"
"256",38191,576.097,255.7538018,219.4358877,0.664537242,37804,0.781144841,"SEKER"
"257",51278,875.991,346.8263782,171.935915,0.833220479,51475,0.637207696,"HOROZ"
"258",39420,856.952,255.6176555,176.0891351,0.774667429,41236,0.811382199,"DERMASON"
"259",146365,1296.436,534.2268875,335.3572228,0.807182208,150515,0.778208496,"BOMBAY"
"260",38849,694.915,282.5145086,148.8525598,0.776442935,36361,0.759217142,"DERMASON"
"261",177101,1521.333,573.0769819,369.7453341,0.789690746,195860,0.772011921,"BOMBAY"
"262",36325,599.009,250.9630443,168.6795662,0.668045999,34337,0.731115131,"SEKER"
"263",51684,715.03,359.0262564,176.5897332,0.869547986,67973,0.602621425,"HOROZ"
"264",181496,1413.845,546.1541326,418.9440388,0.737007603,182988,0.764056421,"BOMBAY"
"265",205338,1755.579,690.0308948,380.4752735,0.850149557,206034,0.797150919,"BOMBAY"
"266",43078,587.522,303.1516162,170.0354998,0.730988954,29407,0.762211489,"SIRA"
"267",46997,593.706,285.2683697,221.3937239,0.640122677,44259,0.756271801,"SEKER"
"268",42198,1037.997,315.9648323,193.349275,0.824262891,43514,0.743080886,"SIRA"
"269",48066,913.677,319.3107082,170.7232857,0.771390282,48213,0.8110936,"SIRA"
"270",169592,1422.425,570.1670621,407.4430678,0.72069285,170666,0.77230693,"BOMBAY"
"271",77626,1256.164,410.9090436,235.3769047,0.854562897,76641,0.811163867,"CALI"
"272",46600,675.427,312.8965922,175.8064118,0.768796044,36352,0.726040983,"SIRA"
"273",157188,1680.411,590.0097566,345.1743349,0.788165365,144365,0.797557798,"BOMBAY"
"274",68886,1017.083,407.9432694,217.2078518,0.883626391,70916,0.803314667,"HOROZ"
"275",161183,1612.677,571.450676,348.6803891,0.718443119,161872,0.759043515,"BOMBAY"
"276",28580,913.707,227.2221596,142.8686468,0.70381148,30422,0.761999872,"DERMASON"
"277",94375,1154.16,462.2052322,230.0514816,0.834758229,93186,0.810860328,"CALI"
"278",75280,872.746,413.6436622,263.038188,0.765086588,73521,0.791055194,"CALI"
"279",34136,938.579,211.3907108,165.9212141,0.522811516,38432,0.7738763,"SEKER"
"280",204413,1608.624,696.8206514,364.0119474,0.854589582,209229,0.818493408,"BOMBAY"
"281",40149,707.137,265.8076523,190.9921209,0.739113173,26376,0.682998909,"SIRA"
"282",58309,826.036,361.504433,221.1629111,0.810900383,58776,0.782943176,"SEKER"
"283",160687,1678.901,572.2234934,363.0634648,0.791055029,162673,0.781001288,"BOMBAY"
"284",38025,599.701,250.3417776,200.5946898,0.580321808,35132,0.783900238,"SEKER"
"285",47067,710.123,281.9025148,178.7075097,0.74230712,47108,0.748920578,"SIRA"
"286",77622,975.932,421.7789178,262.4883722,0.789336028,80261,0.801461313,"CALI"
"287",91588,1422.68,438.6287249,261.7201437,0.849960819,93889,0.796004875,"CALI"
"288",42438,778.413,293.3237523,165.0039629,0.84349051,41537,0.817524311,"HOROZ"
"289",44899,782.965,317.3686985,210.1609667,0.829193783,48925,0.722374973,"SIRA"
"290",37830,967.927,237.1104582,176.3886516,0.61208453,39078,0.743592988,"SEKER"
"291",40324,961.065,221.2447325,207.5757504,0.504502833,42149,0.756188702,"SEKER"
"292",177133,1693.053,603.750891,358.2124261,0.786937721,179074,0.741232901,"BOMBAY"
"293",156287,1513.76,591.1626728,379.0894969,0.7877754,159465,0.809511721,"BOMBAY"
"294",84536,1332.758,426.2185082,239.3641736,0.840806207,85497,0.763031774,"CALI"
"295",35298,603.878,259.4147961,219.780793,0.542995578,38002,0.756903934,"SEKER"
"296",75429,1277.243,424.1725474,212.9285312,0.845941787,77437,0.753488097,"CALI"
"297",42538,810.112,265.4816089,185.1407878,0.577580209,42930,0.737001636,"SEKER"
"298",67669,885.331,375.8805472,211.5199046,0.783905048,69642,0.767672719,"CALI"
"299",47636,786.333,272.354588,171.4986596,0.795483631,45768,0.759752962,"SIRA"
"300",50799,871.572,375.5256261,161.305622,0.887076611,56410,0.594809475,"HOROZ"
"301",187805,1626.01,605.4125285,384.3646971,0.733919163,190944,0.70452977,"BOMBAY"
"302",50492,811.887,318.0295105,188.5046033,0.743747596,64959,0.777361195,"SIRA"
"303",151975,1430.036,606.9473025,312.038778,0.864461895,149285,0.786418618,"BOMBAY"
"304",37919,569.916,236.3628229,189.6411406,0.569232338,38523,0.74586345,"SEKER"
"305",50108,808.765,336.3002426,198.4730295,0.864013905,34988,0.684640869,"HOROZ"
"306",37625,827.718,289.2340143,199.7683041,0.733040617,53629,0.727328626,"DERMASON"
"307",41141,907.983,337.407527,189.0945261,0.834281302,40072,0.650425766,"HOROZ"
"308",30399,720.57,254.6813039,185.7549157,0.813783708,31654,0.785855203,"DERMASON"
"309",168173,1649.243,584.7748343,366.4002381,0.738270458,171663,0.845855616,"BOMBAY"
"310",35311,1004.777,277.5782076,155.2477467,0.770294034,36484,0.800437477,"DERMASON"
